,p_c,p_m,pop_size,Error
0,0.75,0.01,40.0,6324620.343518948
1,0.8,0.01,40.0,6388280.566405409
2,0.85,0.01,40.0,6341248.943576301
3,0.9,0.01,40.0,6302516.234204628
4,0.95,0.01,40.0,6372901.654859817
5,0.9,0.02,10.0,6353644.785516762
6,0.9,0.02,20.0,6306940.288951358
7,0.9,0.02,30.0,6363447.51498261
8,0.9,0.02,40.0,6292218.047640931
9,0.9,0.02,50.0,6295223.101854676
10,0.9,0.01,40.0,6289877.490736704
11,0.9,0.02,40.0,6337930.131701437
12,0.9,0.03,40.0,6341134.660682748
13,0.9,0.04,40.0,6144753.9749075305
14,0.9,0.05,40.0,6309632.290064796
