,p_w,p_c,pop_size,Error
0,0.7,1.3,40.0,7209540.9983050665
1,0.7,1.5,40.0,7214641.97709697
2,0.7,1.7,40.0,7213156.66034762
3,0.7,1.9,40.0,7214932.050623996
4,0.7,2.1,40.0,7204195.062297995
5,0.7,2.1,10.0,7220565.494727101
6,0.7,2.1,20.0,7212740.362691704
7,0.7,2.1,30.0,7210876.36860148
8,0.7,2.1,40.0,7202917.554041155
9,0.7,2.1,50.0,7206204.078657853
10,0.1,2.1,40.0,7212589.931807657
11,0.3,2.1,40.0,7209198.41610445
12,0.5,2.1,40.0,7208542.052705287
13,0.7,2.1,40.0,7213851.949155451
14,0.9,2.1,40.0,7204402.742207265
