,p_w,p_c,pop_size,Error
0,0.5,2.1,10.0,392524.61887880065
1,0.1,1.9,20.0,395747.08783632325
2,0.1,2.1,50.0,434742.0389768419
3,0.5,1.9,50.0,469290.60519614903
4,0.1,2.1,40.0,479956.71164604457
5,0.9,1.3,50.0,664518.8987332735
6,0.1,1.3,50.0,1095946.6109066212
7,0.5,2.1,30.0,1544329.601804584
8,0.3,1.3,20.0,1601743.4158793068
9,0.1,1.3,40.0,333104.234030713
