,p_w,p_c,pop_size,Error
0,0.1,1.5,10.0,7146392.710308796
1,0.3,1.5,10.0,7184451.216099686
2,0.5,1.5,10.0,7156553.190988191
3,0.7,1.5,10.0,7211251.088040529
4,0.9,1.5,10.0,7197698.020848938
5,0.1,1.7,10.0,7207861.958887237
6,0.1,1.7,20.0,7178440.200448207
7,0.1,1.7,30.0,7171001.868672856
8,0.1,1.7,40.0,7148083.143553692
9,0.1,1.7,50.0,7158893.657229062
10,0.1,1.3,40.0,7121057.143038023
11,0.1,1.5,40.0,7177285.6556914365
12,0.1,1.7,40.0,7124731.748564574
13,0.1,1.9,40.0,7143100.34690816
14,0.1,2.1,40.0,7146231.293563412
