,p_c,p_m,pop_size,Error
0,0.75,0.01,30.0,7000241.176806627
1,0.8,0.01,30.0,7062024.559326971
2,0.85,0.01,30.0,7017071.76759776
3,0.9,0.01,30.0,7034734.897139563
4,0.95,0.01,30.0,7037745.842882902
5,0.75,0.04,10.0,6876812.219708373
6,0.75,0.04,20.0,6891031.2206204515
7,0.75,0.04,30.0,6961817.054137618
8,0.75,0.04,40.0,6960395.1682110755
9,0.75,0.04,50.0,6866546.727248593
10,0.75,0.01,50.0,6997244.374546881
11,0.75,0.02,50.0,6954674.544246048
12,0.75,0.03,50.0,6948218.743729229
13,0.75,0.04,50.0,6916495.859993274
14,0.75,0.05,50.0,6879942.765355391
