,p_w,p_c,pop_size,Error
0,0.1,2.1,20.0,6997676.863893777
1,0.3,2.1,20.0,7047296.1738690315
2,0.5,2.1,20.0,7046210.690927648
3,0.7,2.1,20.0,7007013.952531967
4,0.9,2.1,20.0,7016499.14258166
5,0.1,1.3,10.0,7060972.611070114
6,0.1,1.3,20.0,6996005.129953885
7,0.1,1.3,30.0,7007456.374357069
8,0.1,1.3,40.0,6977327.1499900045
9,0.1,1.3,50.0,7015299.038420656
10,0.1,1.3,40.0,7038146.731486632
11,0.1,1.5,40.0,7022201.215773922
12,0.1,1.7,40.0,7006829.5038558
13,0.1,1.9,40.0,7026495.289214357
14,0.1,2.1,40.0,6983961.6731793685
