,p_w,p_c,pop_size,Error
0,0.1,1.5,20.0,5941268.345987354
1,0.3,1.5,20.0,5951993.737879588
2,0.5,1.5,20.0,5933548.77669046
3,0.7,1.5,20.0,5949422.791588872
4,0.9,1.5,20.0,5947549.268545431
5,0.5,1.7,10.0,5968512.18379241
6,0.5,1.7,20.0,5948072.653638509
7,0.5,1.7,30.0,5931968.868342343
8,0.5,1.7,40.0,5951626.54607114
9,0.5,1.7,50.0,5948428.329210628
10,0.5,1.3,30.0,5925187.787717919
11,0.5,1.5,30.0,5945548.304157213
12,0.5,1.7,30.0,5949513.033277773
13,0.5,1.9,30.0,5936636.173423286
14,0.5,2.1,30.0,5920919.057334256
