,p_c,p_m,pop_size,Error
0,0.9,0.02,10.0,5991339.936696828
1,0.9,0.02,20.0,5972693.577532643
2,0.9,0.02,30.0,5976411.960353757
3,0.9,0.02,40.0,5979139.533489765
4,0.9,0.02,50.0,5975301.978921988
5,0.75,0.05,20.0,5950335.210265955
6,0.8,0.05,20.0,5974793.037515095
7,0.85,0.05,20.0,5994407.588767741
8,0.9,0.05,20.0,5989818.719322242
9,0.95,0.05,20.0,5985036.376906803
10,0.75,0.01,20.0,5966562.964743834
11,0.75,0.02,20.0,5986425.6418222245
12,0.75,0.03,20.0,5968960.524884674
13,0.75,0.04,20.0,5979552.153406783
14,0.75,0.05,20.0,5955662.461059005
