,p_w,p_c,pop_size,Error
0,0.7,1.3,50.0,6056311.674901742
1,0.7,1.5,50.0,6053765.404764874
2,0.7,1.7,50.0,6051106.880727652
3,0.7,1.9,50.0,6055377.280498092
4,0.7,2.1,50.0,6048265.856922958
5,0.9,2.1,10.0,6056806.128658889
6,0.9,2.1,20.0,6061401.534161914
7,0.9,2.1,30.0,6054102.712915997
8,0.9,2.1,40.0,6052318.579589876
9,0.9,2.1,50.0,6057060.019344678
10,0.1,2.1,40.0,6053352.901333287
11,0.3,2.1,40.0,6053211.949038705
12,0.5,2.1,40.0,6055195.799749127
13,0.7,2.1,40.0,6052994.72261266
14,0.9,2.1,40.0,6051602.848891011
