,p_c,p_m,pop_size,Error
0,0.85,0.02,10.0,6031459.061256949
1,0.85,0.02,20.0,6051254.3475724505
2,0.85,0.02,30.0,6009672.779910825
3,0.85,0.02,40.0,6030137.323506676
4,0.85,0.02,50.0,6032588.622380979
5,0.9,0.01,30.0,6040217.580647876
6,0.9,0.02,30.0,6031171.700889923
7,0.9,0.03,30.0,6027884.7097077165
8,0.9,0.04,30.0,6023391.014754856
9,0.9,0.05,30.0,6031160.378773739
10,0.75,0.04,30.0,6044542.583396429
11,0.8,0.04,30.0,6012714.456702966
12,0.85,0.04,30.0,6028771.163685955
13,0.9,0.04,30.0,6036980.804785619
14,0.95,0.04,30.0,6003099.895046152
