,p_w,p_c,pop_size,Error
0,0.1,1.3,30.0,6830728.336088678
1,0.3,1.3,30.0,6862169.895792126
2,0.5,1.3,30.0,6844300.788859787
3,0.7,1.3,30.0,6823475.470089229
4,0.9,1.3,30.0,6813913.704806743
5,0.9,1.5,10.0,6870935.296550702
6,0.9,1.5,20.0,6823749.031606495
7,0.9,1.5,30.0,6825094.128864191
8,0.9,1.5,40.0,6809155.943424206
9,0.9,1.5,50.0,6806956.946192329
10,0.9,1.3,50.0,6797460.73887795
11,0.9,1.5,50.0,6834571.550032367
12,0.9,1.7,50.0,6813053.296957599
13,0.9,1.9,50.0,6865201.040600814
14,0.9,2.1,50.0,6839156.862506425
