,p_c,p_m,pop_size,Error
0,0.75,0.04,20,6021417.607670474
1,0.8,0.04,20,6000049.18032099
2,0.85,0.04,20,6047850.283574305
3,0.9,0.04,20,6032455.125577544
4,0.95,0.04,20,6055648.232683791
5,0.8,0.01,40,6042723.539167638
6,0.8,0.02,40,6007959.241188633
7,0.8,0.03,40,6021163.656543228
8,0.8,0.04,40,6021265.911009842
9,0.8,0.05,40,5984976.462560436
10,0.8,0.05,10,6032605.836633368
11,0.8,0.05,20,5987916.258910785
12,0.8,0.05,30,6033137.7338203
13,0.8,0.05,40,6019176.594276618
14,0.8,0.05,50,5991086.015296591
