,p_c,p_m,pop_size,Error
0,0.8,0.01,10.0,7277053.020564658
1,0.8,0.02,10.0,7301172.734601086
2,0.8,0.03,10.0,7258392.247482365
3,0.8,0.04,10.0,7275145.33742836
4,0.8,0.05,10.0,7284978.602206062
5,0.75,0.03,10.0,7280447.861958383
6,0.75,0.03,20.0,7272836.811168661
7,0.75,0.03,30.0,7230835.470956241
8,0.75,0.03,40.0,7269355.017267748
9,0.75,0.03,50.0,7256038.395806625
10,0.75,0.03,30.0,7238195.906779354
11,0.8,0.03,30.0,7262303.705548349
12,0.85,0.03,30.0,7275912.473177162
13,0.9,0.03,30.0,7226236.814573707
14,0.95,0.03,30.0,7269736.494183157
