,p_c,p_m,pop_size,Error
0,0.75,0.03,20.0,6937422.288945151
1,0.8,0.03,20.0,6907182.717641219
2,0.85,0.03,20.0,6935208.50187776
3,0.9,0.03,20.0,6900277.753716055
4,0.95,0.03,20.0,6899582.401164609
5,0.95,0.02,10.0,6952704.765726069
6,0.95,0.02,20.0,6986567.427817772
7,0.95,0.02,30.0,6968147.888384081
8,0.95,0.02,40.0,6988163.363635713
9,0.95,0.02,50.0,6883732.84237484
10,0.95,0.01,50.0,6857893.679108427
11,0.95,0.02,50.0,6906454.845353936
12,0.95,0.03,50.0,6860651.7857055925
13,0.95,0.04,50.0,6945466.957903569
14,0.95,0.05,50.0,6894618.475687684
