,p_c,p_m,pop_size,Error
0,0.75,0.01,50.0,7221316.469838931
1,0.75,0.02,50.0,7220379.561654535
2,0.75,0.03,50.0,7195217.673238606
3,0.75,0.04,50.0,7204379.0829325495
4,0.75,0.05,50.0,7215923.602210411
5,0.8,0.03,10.0,7216084.276623175
6,0.8,0.03,20.0,7193750.807542542
7,0.8,0.03,30.0,7232841.191733426
8,0.8,0.03,40.0,7204054.044264959
9,0.8,0.03,50.0,7181112.730343516
10,0.75,0.03,50.0,7190389.529822381
11,0.8,0.03,50.0,7178441.357540873
12,0.85,0.03,50.0,7210901.890045378
13,0.9,0.03,50.0,7167843.239409159
14,0.95,0.03,50.0,7203718.925532745
