,p_c,p_m,pop_size,Error
0,0.95,0.01,10.0,7151881.516016399
1,0.95,0.01,20.0,7164893.613246335
2,0.95,0.01,30.0,7158120.027047511
3,0.95,0.01,40.0,7145157.532130348
4,0.95,0.01,50.0,7154163.93246878
5,0.8,0.01,40.0,7159764.824516505
6,0.8,0.02,40.0,7140929.329297575
7,0.8,0.03,40.0,7131661.891493203
8,0.8,0.04,40.0,7111244.220631407
9,0.8,0.05,40.0,7116694.6878647655
10,0.75,0.04,40.0,7145221.171463671
11,0.8,0.04,40.0,7149064.880405604
12,0.85,0.04,40.0,7111029.185915887
13,0.9,0.04,40.0,7107604.029795237
14,0.95,0.04,40.0,7112929.840144228
