,p_c,p_m,pop_size,Error
0,0.9,0.01,30.0,7174948.242299395
1,0.9,0.02,30.0,7169614.499831331
2,0.9,0.03,30.0,7171360.279426239
3,0.9,0.04,30.0,7146972.8907745285
4,0.9,0.05,30.0,7175242.68842281
5,0.9,0.04,10.0,7165670.825054002
6,0.9,0.04,20.0,7161350.172539658
7,0.9,0.04,30.0,7159172.410696959
8,0.9,0.04,40.0,7149011.136334754
9,0.9,0.04,50.0,7146857.147741387
10,0.75,0.04,50.0,7141099.380230002
11,0.8,0.04,50.0,7146050.303513561
12,0.85,0.04,50.0,7119096.402758762
13,0.9,0.04,50.0,7156912.445475205
14,0.95,0.04,50.0,7149822.282307294
