,p_c,p_m,pop_size,Error
0,0.75,0.03,20,7159093.505679938
1,0.8,0.03,20,7146581.558131521
2,0.85,0.03,20,7158777.275705719
3,0.9,0.03,20,7168390.990069297
4,0.95,0.03,20,7130484.178049795
5,0.95,0.01,50,7153682.909138556
6,0.95,0.02,50,7131939.633793872
7,0.95,0.03,50,7136061.075490492
8,0.95,0.04,50,7107212.775079826
9,0.95,0.05,50,7117031.416733791
10,0.95,0.04,10,7135551.341537008
11,0.95,0.04,20,7128761.824983454
12,0.95,0.04,30,7152261.526350771
13,0.95,0.04,40,7122569.426724478
14,0.95,0.04,50,7124620.399757148
