,p_c,p_m,pop_size,Error
0,0.85,0.02,10.0,7045224.85981957
1,0.85,0.02,20.0,7058246.603992897
2,0.85,0.02,30.0,7005951.169165516
3,0.85,0.02,40.0,7006662.950418781
4,0.85,0.02,50.0,6913325.743518081
5,0.8,0.01,50.0,6966240.643567278
6,0.8,0.02,50.0,6973970.969578598
7,0.8,0.03,50.0,7009473.891595687
8,0.8,0.04,50.0,7012708.423322616
9,0.8,0.05,50.0,7001738.289250065
10,0.75,0.01,50.0,7061419.804803976
11,0.8,0.01,50.0,6994531.885109205
12,0.85,0.01,50.0,6967250.680021658
13,0.9,0.01,50.0,7088395.831156119
14,0.95,0.01,50.0,7039938.808979089
