,p_c,p_m,pop_size,Error
0,0.9,0.02,10.0,7185760.577326358
1,0.9,0.02,20.0,7156208.261116811
2,0.9,0.02,30.0,7163215.625752459
3,0.9,0.02,40.0,7156200.772003319
4,0.9,0.02,50.0,7136262.879886912
5,0.75,0.01,50.0,7162136.687091132
6,0.75,0.02,50.0,7156732.679535828
7,0.75,0.03,50.0,7148142.571177426
8,0.75,0.04,50.0,7116989.064789525
9,0.75,0.05,50.0,7127792.083157924
10,0.75,0.04,50.0,7126559.753317257
11,0.8,0.04,50.0,7134974.0018006535
12,0.85,0.04,50.0,7154411.83547592
13,0.9,0.04,50.0,7147798.576760896
14,0.95,0.04,50.0,7106365.410348194
