,p_c,p_m,pop_size,Error
0,0.75,0.02,40.0,7002575.901370132
1,0.8,0.02,40.0,6976181.081196406
2,0.85,0.02,40.0,6979725.699898578
3,0.9,0.02,40.0,6965042.744757575
4,0.95,0.02,40.0,6965919.0863492545
5,0.9,0.05,10.0,7006429.238647367
6,0.9,0.05,20.0,6996613.071001822
7,0.9,0.05,30.0,6990180.850799965
8,0.9,0.05,40.0,7000247.552737547
9,0.9,0.05,50.0,6962673.704274877
10,0.9,0.01,50.0,7045576.431279853
11,0.9,0.02,50.0,7019903.704598431
12,0.9,0.03,50.0,7024362.688105576
13,0.9,0.04,50.0,7032701.981164968
14,0.9,0.05,50.0,6934021.639176068
