,p_c,p_m,pop_size,Error
0,0.75,0.04,10.0,6998101.825324278
1,0.8,0.04,10.0,7106522.064349891
2,0.85,0.04,10.0,7116895.487690791
3,0.9,0.04,10.0,7049607.626377912
4,0.95,0.04,10.0,7007405.095106654
5,0.75,0.05,10.0,7001791.77485628
6,0.75,0.05,20.0,7037804.516569358
7,0.75,0.05,30.0,7083569.482329535
8,0.75,0.05,40.0,6848129.605764742
9,0.75,0.05,50.0,6907415.56492849
10,0.75,0.01,40.0,7080527.274042701
11,0.75,0.02,40.0,7016701.041630541
12,0.75,0.03,40.0,6995653.832064823
13,0.75,0.04,40.0,6971175.442682184
14,0.75,0.05,40.0,6920759.999563646
