,p_w,p_c,pop_size,Error
0,0.5,1.3,10.0,6542816.559663321
1,0.5,1.5,10.0,6534711.830839818
2,0.5,1.7,10.0,6536453.529581276
3,0.5,1.9,10.0,6545897.793090648
4,0.5,2.1,10.0,6543902.266081439
5,0.3,1.5,10.0,6545419.901329456
6,0.3,1.5,20.0,6542134.893266089
7,0.3,1.5,30.0,6533773.208925931
8,0.3,1.5,40.0,6537722.742092725
9,0.3,1.5,50.0,6533885.20560204
10,0.1,1.5,30.0,6531195.374240537
11,0.3,1.5,30.0,6528894.189950347
12,0.5,1.5,30.0,6537632.12867091
13,0.7,1.5,30.0,6532542.601269483
14,0.9,1.5,30.0,6529432.541071613
