,p_w,p_c,pop_size,Error
0,0.5,1.3,40.0,7178380.793874188
1,0.5,1.5,40.0,7162737.386317668
2,0.5,1.7,40.0,7169266.237985996
3,0.5,1.9,40.0,7171155.352728151
4,0.5,2.1,40.0,7172689.352140895
5,0.7,1.5,10.0,7165799.756410815
6,0.7,1.5,20.0,7171110.259008467
7,0.7,1.5,30.0,7171322.104163997
8,0.7,1.5,40.0,7168042.424840448
9,0.7,1.5,50.0,7166751.7984927455
10,0.1,1.5,10.0,7177502.829024659
11,0.3,1.5,10.0,7180544.695893551
12,0.5,1.5,10.0,7182678.41527215
13,0.7,1.5,10.0,7174122.470035134
14,0.9,1.5,10.0,7177345.956573878
