,p_c,p_m,pop_size,Error
0,0.95,0.01,30.0,7152918.300730804
1,0.95,0.02,30.0,7136249.243490129
2,0.95,0.03,30.0,7114924.498359972
3,0.95,0.04,30.0,7119103.176973728
4,0.95,0.05,30.0,7141096.241955349
5,0.9,0.03,10.0,7155172.122634196
6,0.9,0.03,20.0,7119129.942007135
7,0.9,0.03,30.0,7131719.609761019
8,0.9,0.03,40.0,7127086.071550658
9,0.9,0.03,50.0,7107243.828512927
10,0.75,0.03,50.0,7110094.63454963
11,0.8,0.03,50.0,7098693.933745278
12,0.85,0.03,50.0,7108599.523497264
13,0.9,0.03,50.0,7106075.663163473
14,0.95,0.03,50.0,7125652.08051065
