,p_c,p_m,pop_size,Error
0,0.75,0.05,10.0,5846700.90525764
1,0.8,0.05,10.0,5917488.862758347
2,0.85,0.05,10.0,5856112.413104953
3,0.9,0.05,10.0,5817092.015630742
4,0.95,0.05,10.0,5735618.063534555
5,0.95,0.04,10.0,5864101.745739661
6,0.95,0.04,20.0,5781951.719341722
7,0.95,0.04,30.0,5745251.392742253
8,0.95,0.04,40.0,5816344.657124569
9,0.95,0.04,50.0,5752400.0889196
10,0.95,0.01,30.0,5865674.360538235
11,0.95,0.02,30.0,5840251.885148878
12,0.95,0.03,30.0,5776855.1020316705
13,0.95,0.04,30.0,5813347.884895365
14,0.95,0.05,30.0,5695256.756393527
