,p_c,p_m,pop_size,Error
0,0.85,0.03,10.0,7162363.569847564
1,0.85,0.03,20.0,7111826.0380921755
2,0.85,0.03,30.0,7137740.001043389
3,0.85,0.03,40.0,7116785.104525316
4,0.85,0.03,50.0,7103122.357865891
5,0.95,0.01,50.0,7145788.088731283
6,0.95,0.02,50.0,7144592.36409609
7,0.95,0.03,50.0,7108025.407360604
8,0.95,0.04,50.0,7079372.513219484
9,0.95,0.05,50.0,7107631.777447907
10,0.75,0.04,50.0,7121427.055391861
11,0.8,0.04,50.0,7116607.495778002
12,0.85,0.04,50.0,7089094.293781671
13,0.9,0.04,50.0,7094897.6938428
14,0.95,0.04,50.0,7122244.449225535
