,p_c,p_m,pop_size,Error
0,0.75,0.05,20,7283566.370615669
1,0.8,0.05,20,7263117.149416483
2,0.85,0.05,20,7255754.286269507
3,0.9,0.05,20,7280088.554407031
4,0.95,0.05,20,7240271.898091109
5,0.95,0.01,30,7300811.748735546
6,0.95,0.02,30,7274771.25395678
7,0.95,0.03,30,7305769.178367449
8,0.95,0.04,30,7290133.510607292
9,0.95,0.05,30,7231203.3051469065
10,0.95,0.05,10,7270074.031686097
11,0.95,0.05,20,7292733.995995322
12,0.95,0.05,30,7269282.581462884
13,0.95,0.05,40,7288663.1607210245
14,0.95,0.05,50,7266637.772339367
