,p_c,p_m,pop_size,Error
0,0.75,0.05,10.0,7186785.015515591
1,0.75,0.05,20.0,7164614.905700992
2,0.75,0.05,30.0,7144300.041583672
3,0.75,0.05,40.0,7184619.338297528
4,0.75,0.05,50.0,7131427.256804702
5,0.8,0.01,50.0,7207080.363811409
6,0.8,0.02,50.0,7192903.261960269
7,0.8,0.03,50.0,7167433.804270582
8,0.8,0.04,50.0,7147383.645920865
9,0.8,0.05,50.0,7189274.281763132
10,0.75,0.04,50.0,7139657.387472112
11,0.8,0.04,50.0,7168917.320400286
12,0.85,0.04,50.0,7167443.915177584
13,0.9,0.04,50.0,7189810.758800221
14,0.95,0.04,50.0,7197727.723039352
