,p_w,p_c,pop_size,Error
0,0.1,1.3,50.0,7036555.067140034
1,0.3,1.3,50.0,7062271.222286982
2,0.5,1.3,50.0,7041699.963593386
3,0.7,1.3,50.0,7049694.301297477
4,0.9,1.3,50.0,7067311.870230779
5,0.1,2.1,10.0,7078925.111401416
6,0.1,2.1,20.0,7083860.993706783
7,0.1,2.1,30.0,7073886.337652684
8,0.1,2.1,40.0,7057876.097826383
9,0.1,2.1,50.0,7047349.727344693
10,0.1,1.3,50.0,7057763.915626082
11,0.1,1.5,50.0,7073329.509954074
12,0.1,1.7,50.0,7073276.558896673
13,0.1,1.9,50.0,7044667.122443523
14,0.1,2.1,50.0,7010238.535255568
