,p_c,p_m,pop_size,Error
0,0.75,0.05,20.0,6663612.748641187
1,0.8,0.05,20.0,6773458.655936219
2,0.85,0.05,20.0,6732021.337276479
3,0.9,0.05,20.0,6757345.027812152
4,0.95,0.05,20.0,6716887.791936286
5,0.75,0.02,10.0,6807051.727541383
6,0.75,0.02,20.0,6741193.11955511
7,0.75,0.02,30.0,6762972.801362365
8,0.75,0.02,40.0,6738013.285051623
9,0.75,0.02,50.0,6731808.687613317
10,0.75,0.01,50.0,6771916.331295576
11,0.75,0.02,50.0,6795524.124090936
12,0.75,0.03,50.0,6690795.15491058
13,0.75,0.04,50.0,6669768.359454203
14,0.75,0.05,50.0,6669614.093808892
