,p_w,p_c,pop_size,Error
0,0.1,1.9,50.0,7061210.484949381
1,0.3,1.9,50.0,7087454.910931835
2,0.5,1.9,50.0,7071162.2508733915
3,0.7,1.9,50.0,7099869.28917554
4,0.9,1.9,50.0,7082682.513963612
5,0.1,1.7,10.0,7138817.891175003
6,0.1,1.7,20.0,7074365.120882283
7,0.1,1.7,30.0,7088983.446862038
8,0.1,1.7,40.0,7087148.502491959
9,0.1,1.7,50.0,7082448.519768242
10,0.1,1.3,20.0,7103774.150885125
11,0.1,1.5,20.0,7098972.635073874
12,0.1,1.7,20.0,7115484.122114198
13,0.1,1.9,20.0,7085850.975556158
14,0.1,2.1,20.0,7102185.297400114
