,p_w,p_c,pop_size,Error
0,0.1,1.3,20.0,7248346.937946989
1,0.1,1.5,20.0,7254109.97016921
2,0.1,1.7,20.0,7254701.609373787
3,0.1,1.9,20.0,7254190.57245257
4,0.1,2.1,20.0,7256318.334503992
5,0.5,1.3,10.0,7255518.676307932
6,0.5,1.3,20.0,7252986.708972621
7,0.5,1.3,30.0,7248204.3983612135
8,0.5,1.3,40.0,7251792.186936319
9,0.5,1.3,50.0,7248909.785167962
10,0.1,1.3,30.0,7253540.076810645
11,0.3,1.3,30.0,7254851.946551843
12,0.5,1.3,30.0,7253863.552341812
13,0.7,1.3,30.0,7252967.2807645295
14,0.9,1.3,30.0,7252057.876649088
