,p_c,p_m,pop_size,Error
0,0.85,0.01,10.0,6034803.264114767
1,0.85,0.01,20.0,6063678.648885823
2,0.85,0.01,30.0,6039545.808325875
3,0.85,0.01,40.0,6050053.785353037
4,0.85,0.01,50.0,6048726.53917423
5,0.85,0.01,10.0,6057866.828705578
6,0.85,0.02,10.0,6015778.315340695
7,0.85,0.03,10.0,6045816.477544732
8,0.85,0.04,10.0,6031916.573219525
9,0.85,0.05,10.0,6053754.696336874
10,0.75,0.02,10.0,6042519.919713376
11,0.8,0.02,10.0,6058558.850974953
12,0.85,0.02,10.0,6050655.756999813
13,0.9,0.02,10.0,6061673.183491585
14,0.95,0.02,10.0,6061701.670407523
