,p_w,p_c,pop_size,Error
0,0.1,1.5,30.0,7022185.933891876
1,0.3,1.5,30.0,6999991.695534707
2,0.5,1.5,30.0,6974341.728912622
3,0.7,1.5,30.0,7004289.458000273
4,0.9,1.5,30.0,7017075.05532607
5,0.5,1.7,10.0,7007916.449429067
6,0.5,1.7,20.0,7019504.088174043
7,0.5,1.7,30.0,7037306.215279939
8,0.5,1.7,40.0,7012503.890441756
9,0.5,1.7,50.0,6997393.555922977
10,0.5,1.3,50.0,7016268.199972354
11,0.5,1.5,50.0,6999338.786194372
12,0.5,1.7,50.0,7015673.976986101
13,0.5,1.9,50.0,6992737.684604772
14,0.5,2.1,50.0,6995249.788531793
