,p_c,p_m,pop_size,Error
0,0.75,0.05,10.0,5984949.204414759
1,0.75,0.05,20.0,5983095.654240999
2,0.75,0.05,30.0,5950250.29214899
3,0.75,0.05,40.0,5947015.208503989
4,0.75,0.05,50.0,5916789.985612586
5,0.75,0.01,50.0,5984593.453726873
6,0.75,0.02,50.0,5983054.79011139
7,0.75,0.03,50.0,5985767.312813303
8,0.75,0.04,50.0,5973444.980105814
9,0.75,0.05,50.0,5932501.002013079
10,0.75,0.05,50.0,5954756.066108291
11,0.8,0.05,50.0,5948476.803849346
12,0.85,0.05,50.0,5942960.4040914355
13,0.9,0.05,50.0,5955575.824765059
14,0.95,0.05,50.0,5945658.105306108
