,p_c,p_m,pop_size,Error
0,0.75,0.01,50.0,6335393.7569686575
1,0.8,0.01,50.0,6350099.42549887
2,0.85,0.01,50.0,6325717.412655738
3,0.9,0.01,50.0,6319229.961182849
4,0.95,0.01,50.0,6344441.095176551
5,0.9,0.04,10.0,6372594.546247429
6,0.9,0.04,20.0,6348662.006974693
7,0.9,0.04,30.0,6270944.239915597
8,0.9,0.04,40.0,6354761.300249347
9,0.9,0.04,50.0,6330735.538544027
10,0.9,0.01,30.0,6354703.96817649
11,0.9,0.02,30.0,6365024.863417433
12,0.9,0.03,30.0,6297574.560039143
13,0.9,0.04,30.0,6295692.202136028
14,0.9,0.05,30.0,6295697.169632853
