,p_c,p_m,pop_size,Error
0,0.85,0.05,40.0,397919.14346091216
1,0.75,0.04,30.0,402663.29359084537
2,0.75,0.04,50.0,448210.9355523289
3,0.9,0.02,30.0,485822.96823349677
4,0.85,0.05,50.0,494352.78253834863
5,0.85,0.05,30.0,682480.8094867539
6,0.9,0.03,30.0,1120906.1676124665
7,0.95,0.04,30.0,1602574.7017033815
8,0.8,0.03,50.0,1645301.6057067998
9,0.95,0.03,40.0,341927.25493218395
