,p_c,p_m,pop_size,Error
0,0.75,0.01,30.0,6989141.89150655
1,0.8,0.01,30.0,6988769.582221076
2,0.85,0.01,30.0,6951931.847540911
3,0.9,0.01,30.0,6987827.290892598
4,0.95,0.01,30.0,6973542.156041892
5,0.85,0.05,10.0,6980381.248632272
6,0.85,0.05,20.0,6875033.320948671
7,0.85,0.05,30.0,6910968.826256792
8,0.85,0.05,40.0,6842744.518141584
9,0.85,0.05,50.0,6923891.857179819
10,0.85,0.01,40.0,6946305.937319099
11,0.85,0.02,40.0,6929353.330502207
12,0.85,0.03,40.0,6877707.767981143
13,0.85,0.04,40.0,6901705.453654005
14,0.85,0.05,40.0,6880672.275552231
