,p_c,p_m,pop_size,Error
0,0.75,0.01,10.0,7153487.928252373
1,0.8,0.01,10.0,7176004.32389852
2,0.85,0.01,10.0,7144152.243395554
3,0.9,0.01,10.0,7141658.333279554
4,0.95,0.01,10.0,7149777.094390802
5,0.9,0.04,10.0,7039613.667933386
6,0.9,0.04,20.0,6939912.235811782
7,0.9,0.04,30.0,7114583.589463075
8,0.9,0.04,40.0,7068695.363694375
9,0.9,0.04,50.0,7070246.480612587
10,0.9,0.01,20.0,7118484.342166178
11,0.9,0.02,20.0,7078360.272514018
12,0.9,0.03,20.0,7164225.392762935
13,0.9,0.04,20.0,7091482.971324814
14,0.9,0.05,20.0,7072239.009403758
