,p_w,p_c,pop_size,Error
0,0.1,2.1,30,315.67860652997985
1,0.3,2.1,30,332.7316092657396
2,0.5,2.1,30,321.94530629076104
3,0.7,2.1,30,326.65921938312067
4,0.9,2.1,30,327.1419941898402
5,0.1,1.3,10,330.89668453551724
6,0.1,1.5,10,333.90257423759726
7,0.1,1.7,10,319.614667088662
8,0.1,1.9,10,332.70094502940185
9,0.1,2.1,10,334.611202557791
10,0.1,1.7,10,337.32941081532454
11,0.1,1.7,20,327.88020797061336
12,0.1,1.7,30,330.7319537253301
13,0.1,1.7,40,330.9666537364959
14,0.1,1.7,50,323.9886677748084
