,p_c,p_m,pop_size,Error
0,0.75,0.01,30,318.31756249968396
1,0.8,0.01,30,315.3684546837915
2,0.85,0.01,30,303.6536340796351
3,0.9,0.01,30,338.53338790211325
4,0.95,0.01,30,301.8831215942463
5,0.95,0.01,30,297.3186868998742
6,0.95,0.02,30,298.8546582108378
7,0.95,0.03,30,291.21629540802354
8,0.95,0.04,30,303.0215016727832
9,0.95,0.05,30,294.668440205277
10,0.95,0.03,10,300.14211382745225
11,0.95,0.03,20,304.2880429266358
12,0.95,0.03,30,296.6317161833722
13,0.95,0.03,40,297.9400204719759
14,0.95,0.03,50,302.9928159782242
