,p_c,p_m,pop_size,Error
0,0.75,0.04,10,296.0178869867536
1,0.8,0.04,10,311.3947122837519
2,0.85,0.04,10,309.09188683446826
3,0.9,0.04,10,308.9779031925058
4,0.95,0.04,10,328.0377436262465
5,0.75,0.01,40,298.3329261705057
6,0.75,0.02,40,310.0288459620576
7,0.75,0.03,40,298.13871190367206
8,0.75,0.04,40,276.00988840429454
9,0.75,0.05,40,297.96255153678044
10,0.75,0.04,10,323.4678058373902
11,0.75,0.04,20,321.31224180814223
12,0.75,0.04,30,290.34303356611633
13,0.75,0.04,40,295.67921620737224
14,0.75,0.04,50,298.59745702517364
