,p_w,p_c,pop_size,Error
0,0.1,1.7,50,335.6203205498514
1,0.3,1.7,50,330.98773928114935
2,0.5,1.7,50,294.5360443095667
3,0.7,1.7,50,319.3620732478142
4,0.9,1.7,50,300.31716552481737
5,0.5,1.3,30,318.46564904262203
6,0.5,1.5,30,317.56580518659825
7,0.5,1.7,30,295.16531514041384
8,0.5,1.9,30,316.8681981087695
9,0.5,2.1,30,329.01811865657436
10,0.5,1.7,10,362.9137822472169
11,0.5,1.7,20,332.69210987223073
12,0.5,1.7,30,345.6299096643305
13,0.5,1.7,40,339.13389460895286
14,0.5,1.7,50,307.00835027015734
