,p_c,p_m,pop_size,Error
0,0.75,0.04,20.0,296.20936379741056
1,0.8,0.04,20.0,307.45957415530756
2,0.85,0.04,20.0,319.789671854037
3,0.9,0.04,20.0,301.00519573630015
4,0.95,0.04,20.0,302.8833069048018
5,0.75,0.03,10.0,301.1450914845078
6,0.75,0.03,20.0,310.23915991805296
7,0.75,0.03,30.0,302.00768519642577
8,0.75,0.03,40.0,303.32697552627417
9,0.75,0.03,50.0,300.0551683469399
10,0.75,0.01,50.0,310.0526261238433
11,0.75,0.02,50.0,305.16784692743886
12,0.75,0.03,50.0,303.5793288744294
13,0.75,0.04,50.0,299.2483403620761
14,0.75,0.05,50.0,287.51286032324737
