,p_c,p_m,pop_size,Error
0,0.75,0.04,40.0,300.10651166926385
1,0.8,0.04,40.0,294.87473114914235
2,0.85,0.04,40.0,294.2319000606881
3,0.9,0.04,40.0,297.7762032082832
4,0.95,0.04,40.0,299.57713475585723
5,0.85,0.02,10.0,294.83568729841284
6,0.85,0.02,20.0,306.0859559931728
7,0.85,0.02,30.0,305.91156081567146
8,0.85,0.02,40.0,298.8251349668275
9,0.85,0.02,50.0,305.92960663937873
10,0.85,0.01,10.0,314.32655850742924
11,0.85,0.02,10.0,291.21360654654984
12,0.85,0.03,10.0,300.7075730096667
13,0.85,0.04,10.0,304.33410725186775
14,0.85,0.05,10.0,316.4285288276352
