,p_w,p_c,pop_size,Error
0,0.9,1.9,10.0,343.3248958442303
1,0.9,1.9,20.0,324.0407902702145
2,0.9,1.9,30.0,322.7449576379164
3,0.9,1.9,40.0,317.2537639609186
4,0.9,1.9,50.0,330.8178579649259
5,0.7,1.3,40.0,318.0785720232212
6,0.7,1.5,40.0,327.8794796846587
7,0.7,1.7,40.0,324.46040081829364
8,0.7,1.9,40.0,320.50291168885684
9,0.7,2.1,40.0,318.16552173643896
10,0.1,1.3,40.0,315.15614423158553
11,0.3,1.3,40.0,322.6032741870041
12,0.5,1.3,40.0,322.22636330266477
13,0.7,1.3,40.0,325.28031365160757
14,0.9,1.3,40.0,319.89066672317733
