,p_w,p_c,pop_size,Error
0,0.5,1.5,10.0,323.69226078341137
1,0.5,1.5,20.0,307.9183689909477
2,0.5,1.5,30.0,311.08413246586645
3,0.5,1.5,40.0,317.6418646377188
4,0.5,1.5,50.0,317.76377088798995
5,0.3,1.3,20.0,316.84116876383837
6,0.3,1.5,20.0,321.63185518029945
7,0.3,1.7,20.0,328.3814802497104
8,0.3,1.9,20.0,321.9940292183989
9,0.3,2.1,20.0,316.8961530241109
10,0.1,1.3,20.0,321.5456251588156
11,0.3,1.3,20.0,328.26023295604745
12,0.5,1.3,20.0,316.0642644934286
13,0.7,1.3,20.0,329.6266775991306
14,0.9,1.3,20.0,319.6797994948382
