,p_c,p_m,pop_size,Error
0,0.75,0.04,30,301.8439496660357
1,0.8,0.04,30,306.3615318985125
2,0.85,0.04,30,295.25488266901436
3,0.9,0.04,30,297.51186613790617
4,0.95,0.04,30,297.6457679705579
5,0.85,0.01,40,306.33964292662637
6,0.85,0.02,40,303.83530259107584
7,0.85,0.03,40,299.6166679743668
8,0.85,0.04,40,298.826797552272
9,0.85,0.05,40,295.16230066396076
10,0.85,0.05,10,305.8899971323383
11,0.85,0.05,20,298.0732982504337
12,0.85,0.05,30,296.79186927589035
13,0.85,0.05,40,301.08840336776194
14,0.85,0.05,50,293.5931094299955
