,p_w,p_c,pop_size,Error
0,0.7,1.3,10.0,326.450949016898
1,0.7,1.3,20.0,334.1404475663067
2,0.7,1.3,30.0,329.1654816670277
3,0.7,1.3,40.0,314.70919573566334
4,0.7,1.3,50.0,316.58049281515196
5,0.9,1.3,40.0,310.7096118750762
6,0.9,1.5,40.0,317.36870191343644
7,0.9,1.7,40.0,312.81206891450614
8,0.9,1.9,40.0,312.2465861263052
9,0.9,2.1,40.0,314.0766365695557
10,0.1,1.3,40.0,321.4004407529787
11,0.3,1.3,40.0,328.1651334595382
12,0.5,1.3,40.0,312.1501590455981
13,0.7,1.3,40.0,312.5851233021603
14,0.9,1.3,40.0,324.1200927411781
