,p_c,p_m,pop_size,Error
0,0.75,0.05,40.0,291.0822298962191
1,0.8,0.05,40.0,297.26071432586167
2,0.85,0.05,40.0,292.3491073614706
3,0.9,0.05,40.0,293.274654953918
4,0.95,0.05,40.0,297.3165900147663
5,0.75,0.05,10.0,318.81149252443095
6,0.75,0.05,20.0,297.61945705631615
7,0.75,0.05,30.0,292.00076657986557
8,0.75,0.05,40.0,291.31717851032045
9,0.75,0.05,50.0,289.8826803890164
10,0.75,0.01,50.0,302.25736575893427
11,0.75,0.02,50.0,300.70077790152664
12,0.75,0.03,50.0,296.71515423845943
13,0.75,0.04,50.0,289.8150384033198
14,0.75,0.05,50.0,301.33942838286777
