,p_w,p_c,pop_size,Error
0,0.1,1.5,40,308.41902851765724
1,0.3,1.5,40,318.8699342893333
2,0.5,1.5,40,312.1588278787322
3,0.7,1.5,40,310.93261645206456
4,0.9,1.5,40,322.26301841930757
5,0.1,1.3,30,305.2938227469045
6,0.1,1.5,30,314.5758364732979
7,0.1,1.7,30,330.17100800845793
8,0.1,1.9,30,333.3683834182423
9,0.1,2.1,30,297.67960530917605
10,0.1,2.1,10,398.9842153252851
11,0.1,2.1,20,333.6425036049534
12,0.1,2.1,30,338.04835585503355
13,0.1,2.1,40,319.5369886419994
14,0.1,2.1,50,316.3816660111575
