,p_w,p_c,pop_size,Error
0,0.5,1.3,10.0,333.36378551266074
1,0.5,1.3,20.0,314.36600866613554
2,0.5,1.3,30.0,326.39029986951795
3,0.5,1.3,40.0,310.8373334724321
4,0.5,1.3,50.0,319.36558116674075
5,0.3,1.3,40.0,320.70746386875976
6,0.3,1.5,40.0,320.1611504267586
7,0.3,1.7,40.0,322.52171175309076
8,0.3,1.9,40.0,321.39004942064156
9,0.3,2.1,40.0,308.1486477206549
10,0.1,2.1,40.0,321.6573257595157
11,0.3,2.1,40.0,312.6240121676153
12,0.5,2.1,40.0,320.1338575208947
13,0.7,2.1,40.0,323.96571098838854
14,0.9,2.1,40.0,322.5691133113627
