,p_c,p_m,pop_size,Error
0,0.75,0.03,50,282.1847037501975
1,0.8,0.03,50,299.637994307839
2,0.85,0.03,50,296.55757847135186
3,0.9,0.03,50,294.7408738181701
4,0.95,0.03,50,295.0927004183745
5,0.75,0.01,20,308.47590659903506
6,0.75,0.02,20,300.0459767836842
7,0.75,0.03,20,312.6986941381163
8,0.75,0.04,20,303.0418798156341
9,0.75,0.05,20,298.3811360786219
10,0.75,0.05,10,304.1222241157808
11,0.75,0.05,20,296.146537890572
12,0.75,0.05,30,292.3002473524642
13,0.75,0.05,40,294.67486148481055
14,0.75,0.05,50,295.8640517524483
