,p_w,p_c,pop_size,Error
0,0.7,1.5,10.0,321.5795778314456
1,0.7,1.5,20.0,333.39127509089246
2,0.7,1.5,30.0,315.2472118374784
3,0.7,1.5,40.0,320.3105604446951
4,0.7,1.5,50.0,327.8633691881343
5,0.9,1.3,30.0,315.675904378624
6,0.9,1.5,30.0,323.6887654929663
7,0.9,1.7,30.0,322.48107164231993
8,0.9,1.9,30.0,308.57677155283585
9,0.9,2.1,30.0,321.53330876648124
10,0.1,1.9,30.0,331.53505798618323
11,0.3,1.9,30.0,316.2324796696108
12,0.5,1.9,30.0,330.2764396800027
13,0.7,1.9,30.0,319.02234486411953
14,0.9,1.9,30.0,324.6850638302059
