,p_w,p_c,pop_size,Error
0,0.7,1.7,50.0,36.71275430129373
1,0.3,2.1,40.0,36.97299010431717
2,0.5,1.3,50.0,35.663016390973056
3,0.5,1.3,40.0,37.02819531944651
4,0.3,1.9,30.0,35.30721080357577
5,0.1,1.3,40.0,35.64633043233146
6,0.5,2.1,30.0,36.11899929367069
7,0.9,2.1,30.0,35.0611691209176
8,0.5,1.3,20.0,35.83677770815083
9,0.3,1.9,40.0,34.31465211540602
