,p_w,p_c,pop_size,Error
0,0.1,1.5,30,313.5307379628164
1,0.3,1.5,30,325.2869780103077
2,0.5,1.5,30,334.8437344526822
3,0.7,1.5,30,319.3586899502775
4,0.9,1.5,30,320.33324709558417
5,0.1,1.3,50,292.2772523537754
6,0.1,1.5,50,318.68532216361103
7,0.1,1.7,50,327.6355161921682
8,0.1,1.9,50,312.8741063416726
9,0.1,2.1,50,328.3880564759455
10,0.1,1.3,10,344.43687199620183
11,0.1,1.3,20,295.89490861960456
12,0.1,1.3,30,333.17174753788277
13,0.1,1.3,40,315.02618352888965
14,0.1,1.3,50,322.3138556038081
