,p_c,p_m,pop_size,Error
0,0.75,0.05,10.0,274.48048348956985
1,0.8,0.05,10.0,333.0656610456311
2,0.85,0.05,10.0,343.88036608367975
3,0.9,0.05,10.0,312.6805203960969
4,0.95,0.05,10.0,350.467163139789
5,0.75,0.04,10.0,265.5259736502827
6,0.75,0.04,20.0,285.0169504110425
7,0.75,0.04,30.0,271.5091341076168
8,0.75,0.04,40.0,271.76717117511987
9,0.75,0.04,50.0,266.77381518819345
10,0.75,0.01,10.0,316.4699570108076
11,0.75,0.02,10.0,300.9721180751011
12,0.75,0.03,10.0,319.2314243969901
13,0.75,0.04,10.0,313.6908554822115
14,0.75,0.05,10.0,339.80902669453724
