,p_w,p_c,pop_size,Error
0,0.9,1.9,10.0,320.3095390673894
1,0.9,1.9,20.0,324.023001650942
2,0.9,1.9,30.0,322.17031828663454
3,0.9,1.9,40.0,323.7466663355815
4,0.9,1.9,50.0,319.6243868358431
5,0.3,1.3,50.0,315.05530980779116
6,0.3,1.5,50.0,316.22642931991084
7,0.3,1.7,50.0,316.0766251708158
8,0.3,1.9,50.0,315.56162454233504
9,0.3,2.1,50.0,319.5401188895426
10,0.1,1.3,50.0,313.4324313824943
11,0.3,1.3,50.0,314.5878270174025
12,0.5,1.3,50.0,305.4583057452779
13,0.7,1.3,50.0,319.55887380805717
14,0.9,1.3,50.0,318.4070737894071
