,p_c,p_m,pop_size,Error
0,0.75,0.04,40.0,225.82385419302506
1,0.8,0.04,40.0,271.31109885302226
2,0.85,0.04,40.0,228.9358541428042
3,0.9,0.04,40.0,264.74237073075165
4,0.95,0.04,40.0,224.79162073147745
5,0.95,0.02,10.0,305.98151371511716
6,0.95,0.02,20.0,253.7623637579312
7,0.95,0.02,30.0,290.9553192354241
8,0.95,0.02,40.0,228.47888529975907
9,0.95,0.02,50.0,258.98827689175295
10,0.95,0.01,40.0,265.4028675991102
11,0.95,0.02,40.0,264.29772086448554
12,0.95,0.03,40.0,242.79665598069482
13,0.95,0.04,40.0,290.62159118680813
14,0.95,0.05,40.0,241.95637843684668
