,p_c,p_m,pop_size,Error
0,0.75,0.05,50.0,258.1980225473995
1,0.8,0.05,50.0,276.3493853119379
2,0.85,0.05,50.0,275.3975716658638
3,0.9,0.05,50.0,220.48621383066478
4,0.95,0.05,50.0,205.1334545573382
5,0.95,0.02,10.0,344.10993242036443
6,0.95,0.02,20.0,288.44716370897436
7,0.95,0.02,30.0,238.1884835178824
8,0.95,0.02,40.0,230.48728047751564
9,0.95,0.02,50.0,233.5539441398068
10,0.95,0.01,40.0,278.60560159719137
11,0.95,0.02,40.0,289.30376125738775
12,0.95,0.03,40.0,262.85579489008876
13,0.95,0.04,40.0,239.78439198390484
14,0.95,0.05,40.0,265.78857318438554
