,p_c,p_m,pop_size,Error
0,0.75,0.02,20.0,321.8039654556518
1,0.8,0.02,20.0,314.922075928088
2,0.85,0.02,20.0,311.8581716511166
3,0.9,0.02,20.0,308.48363151197117
4,0.95,0.02,20.0,302.4000052509377
5,0.95,0.03,10.0,302.14487984122843
6,0.95,0.03,20.0,307.134602913012
7,0.95,0.03,30.0,296.25574383036786
8,0.95,0.03,40.0,305.3109865270534
9,0.95,0.03,50.0,296.44146240530483
10,0.95,0.01,30.0,314.0829717409027
11,0.95,0.02,30.0,303.6117071761203
12,0.95,0.03,30.0,299.6774888306704
13,0.95,0.04,30.0,303.43362959507544
14,0.95,0.05,30.0,293.6478638531919
